sound_pressure_level [dba],air_temperature [Celsius],pm2.5 [mu_g/m3],indoor_co2 [ppm],new_time,outdoor_relative_humidity [%],fcu_fan_speed [Hz],occupant_count [number],illuminance [lux]
57.07333374,23.56433296,2.066666603,453.5,2021-09-07 00:00:00,97.70488739,0.0,0,0.0
57.01666641,23.4873333,1.966666698,448.8666687,2021-09-07 00:05:00,97.40485382,0.0,0,0.0
57.08333206,23.42399979,1.833333373,447.3333435,2021-09-07 00:10:00,97.40000153,0.0,0,0.0
57.0933342,23.25300026,1.700000048,446.0666809,2021-09-07 00:15:00,97.29837799,0.0,0,0.0
57.01666641,23.30900002,1.666666627,444.3666687,2021-09-07 00:20:00,97.40324402,0.0,0,0.0
58.91428757,23.29178619,1.357142806,439.7857056,2021-09-07 00:25:00,97.59999847,0.0,0,0.0
57.20999908,23.26499939,1.166666627,435.7666626,2021-09-07 00:30:00,97.59999847,0.0,0,0.0
56.94333267,23.2140007,1.200000048,435.5,2021-09-07 00:35:00,97.19999695,0.0,0,0.0
57.14827728,23.17000008,1.034482718,434.8620605,2021-09-07 00:40:00,97.19999695,0.0,0,0.0
57.07333374,23.23999977,1.066666722,433.3666687,2021-09-07 00:45:00,97.19999695,0.0,0,0.0
57.18333435,23.18133354,1.066666722,428.7666626,2021-09-07 00:50:00,97.79676056,0.0,0,0.0
57.10333252,23.16033363,1.0,430.8666687,2021-09-07 00:55:00,97.69999695,0.0,0,0.0
57.06000137,23.0996666,1.033333302,431.5666809,2021-09-07 01:00:00,97.20162201,0.0,0,0.0
57.08666611,22.9829998,1.0,428.3666687,2021-09-07 01:05:00,97.0,0.0,0,0.0
57.29000092,22.91799927,1.0,428.4666748,2021-09-07 01:10:00,96.80000305,0.0,0,0.0
58.83214188,22.80428505,1.0,425.7142944,2021-09-07 01:15:00,96.20485687,0.0,0,0.0
57.81999969,22.79333305,1.0,429.2333374,2021-09-07 01:20:00,96.0,0.0,0,0.0
57.50333405,22.78466606,1.066666722,429.1000061,2021-09-07 01:25:00,96.19999695,0.0,0,0.0
57.37931061,22.72034454,1.0,428.758606,2021-09-07 01:30:00,96.5,0.0,0,0.0
57.55666733,22.65933418,1.0,428.2000122,2021-09-07 01:35:00,96.79837799,0.0,0,0.0
57.31999969,22.64500046,1.033333302,429.0333252,2021-09-07 01:40:00,97.0,0.0,0,0.0
57.26666641,22.61566734,1.0,427.6333313,2021-09-07 01:45:00,97.1967392,0.0,0,0.0
57.03333282,22.50300026,1.0,427.8666687,2021-09-07 01:50:00,97.5,0.0,0,0.0
57.18000031,22.44966698,0.966666639,426.7999878,2021-09-07 01:55:00,97.79837036,0.0,0,0.0
57.21333313,22.42866707,1.0,428.7666626,2021-09-07 02:00:00,97.50324249,0.0,0,0.0
57.49285889,22.44285774,0.964285731,427.1071472,2021-09-07 02:05:00,97.69999695,0.0,0,0.0
57.91666794,22.42200089,1.0,424.3666687,2021-09-07 02:10:00,98.09999847,0.0,0,0.0
57.29000092,22.38666725,1.0,422.2333374,2021-09-07 02:15:00,97.90000153,0.0,0,0.0
57.23666763,22.35366631,0.933333337,424.5333252,2021-09-07 02:20:00,98.09999847,0.0,0,0.0
57.25172424,22.32344818,0.965517223,427.1034546,2021-09-07 02:25:00,98.09999847,0.0,0,0.0
57.25333405,22.31233406,0.966666639,427.5333252,2021-09-07 02:30:00,98.10001373,0.0,0,0.0
57.06000137,22.30500031,0.966666639,423.5333252,2021-09-07 02:35:00,98.19999695,0.0,0,0.0
56.70333481,22.31033325,0.899999976,426.6333313,2021-09-07 02:40:00,98.30000305,0.0,0,0.0
57.06999969,22.30800056,0.933333337,427.8333435,2021-09-07 02:45:00,98.5,0.0,0,0.0
57.39666748,22.29566574,0.966666639,426.6666565,2021-09-07 02:50:00,98.80000305,0.0,0,0.0
57.95172501,22.27827644,1.0,430.0,2021-09-07 02:55:00,99.19675446,0.0,0,36.67930984
58.65861893,22.32620621,1.034482718,432.3103333,2021-09-07 03:00:00,99.30000305,0.0,0,83.5931015
58.33333206,22.38166618,1.133333325,437.7999878,2021-09-07 03:05:00,99.5,0.0,0,84.48666382
58.18999863,22.41566658,1.066666722,440.7000122,2021-09-07 03:10:00,99.29998016,0.0,0,84.69333649
58.84827423,22.42793083,1.103448272,443.9655151,2021-09-07 03:15:00,99.0,0.0,0,84.71379089
58.56999969,22.45800018,1.100000024,448.7333374,2021-09-07 03:20:00,97.90324402,0.0,0,84.45666504
59.13666534,22.49799919,1.233333349,453.2000122,2021-09-07 03:25:00,97.80000305,0.0,0,83.48000336
59.43000031,22.57466698,1.233333349,464.3666687,2021-09-07 03:30:00,97.70162201,0.0,0,83.45666504
61.19666672,22.65600014,1.399999976,476.0,2021-09-07 03:35:00,98.29508972,0.0,0,80.6333313
59.47999954,22.80400085,1.766666651,506.8666687,2021-09-07 03:40:00,98.5,0.0,0,78.6866684
60.44333267,22.82900047,1.866666675,546.9666748,2021-09-07 03:45:00,99.49676514,0.0,0,78.62666321
64.5,23.18785667,1.821428537,574.3571167,2021-09-07 03:50:00,99.99999237,0.0,0,78.86428833
62.73666763,23.23666573,1.666666627,599.6333618,2021-09-07 03:55:00,99.80000305,0.0,0,78.76667023
64.30000305,23.28633308,2.033333302,626.1333618,2021-09-07 04:00:00,99.99677277,0.0,0,78.04666901
62.18333435,23.24066734,1.700000048,636.1333618,2021-09-07 04:05:00,100.0,0.0,0,78.41999817
63.79310226,23.14586258,1.517241359,638.1724243,2021-09-07 04:10:00,100.0,0.0,0,77.87931061
61.74333191,23.05266762,1.600000024,644.4333496,2021-09-07 04:15:00,100.0,0.0,0,77.15000153
60.67333221,23.04366684,1.433333278,649.4333496,2021-09-07 04:20:00,100.0,0.0,0,75.37000275
61.14333344,22.8686676,1.466666698,650.2999878,2021-09-07 04:25:00,100.0,0.0,0,75.48332977
61.24333191,22.78633308,1.533333302,648.2666626,2021-09-07 04:30:00,100.0,0.0,0,76.91999817
62.53333282,22.8813324,1.5,644.3666382,2021-09-07 04:35:00,100.0,0.0,0,76.88999939
64.54285431,22.78678513,1.321428537,642.5357056,2021-09-07 04:40:00,100.0,0.0,0,76.27857208
63.92666626,22.80533409,1.200000048,634.0,2021-09-07 04:45:00,100.0,0.0,0,76.26000214
63.12666702,22.74600029,1.233333349,637.166687,2021-09-07 04:50:00,100.0,0.0,0,75.54666901
59.96666718,22.76633263,1.633333325,636.8666382,2021-09-07 04:55:00,100.0,0.0,0,75.63999939
57.21666718,22.78933334,1.433333278,615.0666504,2021-09-07 05:00:00,100.0,0.0,0,75.95666504
56.8133316,22.82966614,1.133333325,586.0666504,2021-09-07 05:05:00,100.0,0.0,0,76.39333344
56.95999908,22.87266731,1.166666627,560.666687,2021-09-07 05:10:00,100.0,0.0,0,76.53666687
57.40333176,22.76600075,1.100000024,542.7333374,2021-09-07 05:15:00,100.0,0.0,0,77.07333374
57.02000046,22.84466743,1.066666722,528.1333618,2021-09-07 05:20:00,100.0,0.0,0,77.23999786
57.20333481,22.70533371,1.100000024,520.7999878,2021-09-07 05:25:00,100.0,0.0,0,77.96333313
57.1071434,22.52464294,1.142857194,514.1428833,2021-09-07 05:30:00,100.0,0.0,0,78.44642639
60.28333282,22.70933342,1.366666675,514.3666382,2021-09-07 05:35:00,100.0,0.0,0,87.63999939
57.56999969,22.78199959,1.233333349,515.3666382,2021-09-07 05:40:00,100.0,0.0,0,101.793335
57.61666489,22.99533272,1.399999976,516.5999756,2021-09-07 05:45:00,100.0,0.0,0,104.4466629
59.53792953,23.13241386,1.241379261,516.6896362,2021-09-07 05:50:00,100.0,0.0,0,101.1758652
62.82333374,23.31299973,1.633333325,526.7000122,2021-09-07 05:55:00,100.0,0.0,0,101.7399979
65.97333527,23.43333244,2.033333302,563.5999756,2021-09-07 06:00:00,100.0,0.0,0,100.7333298
62.74333191,23.52400017,1.833333373,600.833313,2021-09-07 06:05:00,100.0,0.0,0,99.22333527
63.0,23.61366653,1.766666651,641.9333496,2021-09-07 06:10:00,100.0,0.0,0,94.52999878
62.17666626,23.43000031,1.799999952,662.4666748,2021-09-07 06:15:00,100.0,0.0,0,91.65666962
63.80666733,23.31200027,1.733333349,679.4666748,2021-09-07 06:20:00,100.0,0.0,0,96.53333282
66.68571472,23.21857071,1.607142806,690.7142944,2021-09-07 06:25:00,100.0,0.0,0,96.17500305
65.71333313,23.20599937,1.533333302,693.9333496,2021-09-07 06:30:00,100.0,0.0,0,95.27666473
63.43000031,23.24733353,1.933333278,703.4333496,2021-09-07 06:35:00,100.0,0.0,0,96.44333649
60.95666504,23.24266624,1.700000048,700.9666748,2021-09-07 06:40:00,100.0,0.0,0,97.09333038
61.21034622,23.2282753,1.275862098,700.9655151,2021-09-07 06:45:00,100.0,0.0,0,96.29310608
62.06666565,23.24900055,1.266666651,702.9333496,2021-09-07 06:50:00,100.0,0.0,0,94.92333221
61.93999863,23.22999954,1.266666651,700.4333496,2021-09-07 06:55:00,100.0,0.0,0,94.75333405
62.33000183,23.23966599,1.0,699.7333374,2021-09-07 07:00:00,100.0,0.0,0,93.96333313
61.72333145,23.25200081,1.166666627,696.2999878,2021-09-07 07:05:00,97.59999847,0.0,0,94.6966629
60.93999863,23.23833275,1.100000024,694.333313,2021-09-07 07:10:00,94.79975128,0.0,0,94.10333252
63.5178566,23.27392769,1.071428537,691.25,2021-09-07 07:15:00,83.60005188,0.0,1,94.61785889
65.21333313,23.24833298,1.166666627,699.5666504,2021-09-07 07:20:00,84.20000458,0.0,1,97.66333008
63.32333374,23.25600052,1.266666651,701.666687,2021-09-07 07:25:00,84.10018158,0.0,0,97.68333435
61.43333435,23.23533249,1.166666627,710.0999756,2021-09-07 07:30:00,85.90019989,0.0,0,97.48332977
63.12413788,23.1993103,1.172413826,710.4483032,2021-09-07 07:35:00,87.10386658,0.0,0,98.98965454
65.50645447,23.20967674,1.032258034,708.3225708,2021-09-07 07:40:00,87.80005646,0.0,0,98.47741699
65.26000214,23.19133377,1.133333325,709.2000122,2021-09-07 07:45:00,88.09999847,0.0,0,93.84666443
64.98666382,23.15266609,1.166666627,710.9000244,2021-09-07 07:50:00,90.60019684,0.0,0,93.36333466
62.93000031,23.14566612,1.133333325,712.7666626,2021-09-07 07:55:00,93.20001984,0.0,0,95.47666931
64.34516144,23.21257973,1.290322542,712.3548584,2021-09-07 08:00:00,95.69675446,0.0,0,99.50967407
63.73928452,23.20214272,1.25,714.8571167,2021-09-07 08:05:00,95.5,0.0,0,98.90714264
68.12000275,23.26833344,1.100000024,711.7999878,2021-09-07 08:10:00,97.10001373,0.0,0,97.98000336
63.62666702,23.19033241,1.166666627,713.5333252,2021-09-07 08:15:00,97.09999847,0.0,0,97.37666321
63.68999863,23.24766731,1.100000024,715.5333252,2021-09-07 08:20:00,97.10001373,0.0,0,96.89333344
63.43000031,23.22733307,1.333333373,722.2999878,2021-09-07 08:25:00,97.19999695,0.0,0,97.21333313
62.22413635,23.21586227,1.241379261,722.0,2021-09-07 08:30:00,97.20001984,0.0,0,97.91724396
63.70333481,23.23900032,1.5,721.4000244,2021-09-07 08:35:00,97.80000305,50.06879425,0,99.01333618
61.10333252,23.22366714,1.333333373,719.6333618,2021-09-07 08:40:00,98.80000305,50.06879425,0,98.08666992
60.61999893,23.2203331,1.733333349,714.7000122,2021-09-07 08:45:00,98.19999695,50.06879425,0,96.82333374
61.00999832,23.23266602,1.5,707.0999756,2021-09-07 08:50:00,98.30001831,27.20224571,0,97.84666443
61.33666611,23.40566635,1.600000024,706.5666504,2021-09-07 08:55:00,99.19999695,27.20224571,0,102.2799988
63.49285889,23.31999969,1.75,709.2857056,2021-09-07 09:00:00,97.9065094,27.20224571,0,96.43928528
61.82666779,23.25866699,1.866666675,709.833313,2021-09-07 09:05:00,97.0998764,27.20224571,0,97.05999756
60.22999954,23.15266609,1.600000024,707.333313,2021-09-07 09:10:00,96.59999847,27.20224571,0,106.8366699
61.70000076,23.12233353,1.833333373,695.5999756,2021-09-07 09:15:00,94.5,27.20224571,0,105.6366653
65.38965607,23.07344818,1.793103456,688.0689697,2021-09-07 09:20:00,96.69999695,27.20224571,0,100.7586212
65.83333588,23.09933281,1.966666698,689.666687,2021-09-07 09:25:00,95.30000305,27.20224571,0,92.1866684
63.28333282,23.07766724,1.966666698,680.7333374,2021-09-07 09:30:00,94.1001358,27.20224571,0,92.59999847
65.08999634,23.048666,2.0,673.2666626,2021-09-07 09:35:00,92.11591339,27.20224571,0,91.1866684
66.8133316,23.0443325,2.266666651,677.0,2021-09-07 09:40:00,87.79988861,27.20224571,0,91.32666779
63.53333282,23.18400002,1.733333349,677.833313,2021-09-07 09:45:00,85.69999695,27.20224571,2,95.34666443
66.30000305,23.14321518,1.571428537,674.5,2021-09-07 09:50:00,84.7805481,27.20224571,2,92.82142639
64.12000275,23.21666718,1.566666722,670.666687,2021-09-07 09:55:00,88.8001709,27.20224571,2,91.83999634
62.49333191,23.23833275,1.700000048,671.0999756,2021-09-07 10:00:00,94.47408295,27.20224571,2,90.73666382
61.20000076,23.21299934,1.799999952,672.5333252,2021-09-07 10:05:00,96.20001221,27.20224571,2,97.59666443
62.11724091,23.1848278,1.551724195,659.758606,2021-09-07 10:10:00,92.7999115,27.20224571,2,101.1965485
58.52000046,23.20100021,1.766666651,648.7999878,2021-09-07 10:15:00,91.09999847,27.20224571,2,105.3633347
56.97333145,23.18700027,1.899999976,631.166687,2021-09-07 10:20:00,89.48695374,27.20224571,2,103.0566635
57.18333435,23.19099998,1.866666675,604.0999756,2021-09-07 10:25:00,89.59992981,27.20224571,2,100.2699966
57.47999954,23.09566689,1.566666722,572.5666504,2021-09-07 10:30:00,88.90016937,27.20224571,2,101.203331
57.40000153,23.07733345,1.833333373,555.833313,2021-09-07 10:35:00,88.10004425,27.20224571,1,101.9466629
58.31071472,23.05750084,1.642857194,544.4642944,2021-09-07 10:40:00,89.09996033,27.20224571,1,102.0
57.88333511,23.21699905,1.566666722,538.0,2021-09-07 10:45:00,88.90010834,27.20224571,1,106.6133347
57.45333481,23.16633415,1.366666675,539.5999756,2021-09-07 10:50:00,91.65021515,27.20224571,1,106.4733353
57.51333237,23.21966743,1.366666675,539.333313,2021-09-07 10:55:00,96.30011749,27.20224571,2,105.6533356
56.95999908,23.14966583,1.433333278,538.9666748,2021-09-07 11:00:00,98.29354858,27.20224571,2,103.7733307
57.15861893,23.14241409,1.379310369,533.1724243,2021-09-07 11:05:00,97.29998016,27.20224571,2,105.0689621
56.91333389,23.18566704,1.600000024,527.333313,2021-09-07 11:10:00,96.20016479,27.20224571,2,108.3166656
57.0933342,23.08766747,1.333333373,524.666687,2021-09-07 11:15:00,96.29994965,27.20224571,2,105.3466644
57.01666641,23.09366608,1.5,522.2999878,2021-09-07 11:20:00,96.19989014,27.20224571,2,104.9066696
57.01333237,23.1123333,1.366666675,517.0999756,2021-09-07 11:25:00,92.80010986,27.20224571,2,104.4266663
57.45862198,23.19413757,1.482758641,516.0,2021-09-07 11:30:00,95.5002594,27.20224571,2,110.4586182
60.41379166,23.19068909,1.448275805,511.1034546,2021-09-07 11:35:00,96.99997711,27.20224571,2,100.4310379
57.51333237,23.02366638,1.5,513.0333252,2021-09-07 11:40:00,97.40007019,27.20224571,2,17.28333282
57.17666626,22.89366722,1.366666675,506.2999878,2021-09-07 11:45:00,93.80002594,27.20224571,2,0.0
57.24333191,22.78233337,1.200000048,496.7999878,2021-09-07 11:50:00,93.49990845,27.20224571,2,0.0
57.3551712,22.7089653,1.482758641,488.8965454,2021-09-07 11:55:00,91.9002533,27.20224571,3,0.0
57.17333221,22.88233376,1.433333278,484.5666809,2021-09-07 12:00:00,92.10651398,27.20224571,3,0.0
