Atmospheric Pressure,indoor_relative_humidity [%],air_temperature [Celsius],pm2.5 [mu_g/m3],indoor_co2 [ppm],occupant_count [number],voc [ppb]
57.07,52.02,23.56,2.07,453.5,24,20.0
57.02,51.08,23.49,1.97,448.87,21,20.0
57.08,50.41,23.42,1.83,447.33,15,20.0
57.09,50.5,23.25,1.7,446.07,24,20.0
57.02,50.31,23.31,1.67,444.37,22,20.0
58.91,50.14,23.29,1.36,439.79,24,22.9642849
57.21,49.81,23.26,1.17,435.77,19,20.29999924
56.94,49.73,23.21,1.2,435.5,21,20.0
57.15,49.44,23.17,1.03,434.86,27,20.0
57.07,49.04,23.24,1.07,433.37,16,20.0
57.18,48.81,23.18,1.07,428.77,26,20.0
57.1,48.64,23.16,1.0,430.87,28,20.0
57.06,48.61,23.1,1.03,431.57,30,20.0
57.09,48.62,22.98,1.0,428.37,17,20.0
57.29,48.63,22.92,1.0,428.47,15,20.0
58.83,48.82,22.8,1.0,425.71,16,22.2142849
57.82,48.72,22.79,1.0,429.23,25,22.06666756
57.5,48.58,22.78,1.07,429.1,16,20.03333282
57.38,48.61,22.72,1.0,428.76,26,20.0
57.56,48.7,22.66,1.0,428.2,20,20.0
57.32,48.63,22.65,1.03,429.03,27,20.0
57.27,48.6,22.62,1.0,427.63,19,20.0
57.03,48.84,22.5,1.0,427.87,27,20.0
57.18,49.05,22.45,0.97,426.8,30,20.0
57.21,49.12,22.43,1.0,428.77,19,20.0
57.49,49.12,22.44,0.96,427.11,30,20.6428566
57.92,49.17,22.42,1.0,424.37,21,24.56666756
57.29,49.19,22.39,1.0,422.23,16,20.39999962
57.24,49.18,22.35,0.93,424.53,20,20.0
57.25,49.19,22.32,0.97,427.1,27,20.0
57.25,49.17,22.31,0.97,427.53,30,20.0
57.06,49.13,22.31,0.97,423.53,23,20.0
56.7,49.12,22.31,0.9,426.63,25,20.0
57.07,49.07,22.31,0.93,427.83,19,20.0
57.4,49.04,22.3,0.97,426.67,20,20.0
57.95,49.08,22.28,1.0,430.0,25,20.0
58.66,49.16,22.33,1.03,432.31,18,22.0
58.33,49.05,22.38,1.13,437.8,19,20.63333321
58.19,48.94,22.42,1.07,440.7,25,20.0
58.85,48.92,22.43,1.1,443.97,25,20.0
58.57,49.02,22.46,1.1,448.73,24,20.0
59.14,49.14,22.5,1.23,453.2,24,20.0
59.43,49.14,22.57,1.23,464.37,24,20.0
61.2,49.21,22.66,1.4,476.0,15,20.0
59.48,49.95,22.8,1.77,506.87,29,20.0
60.44,50.12,22.83,1.87,546.97,30,20.03333282
64.5,49.51,23.19,1.82,574.36,24,22.6428566
62.74,49.42,23.24,1.67,599.63,24,21.60000038
64.3,49.41,23.29,2.03,626.13,34,20.0
62.18,49.25,23.24,1.7,636.13,26,20.0
63.79,49.27,23.15,1.52,638.17,26,20.0
