indoor_relative_humidity [%],illuminance [lux],indoor_temperature,wind_speed [m/s],occupant_count [number],Atmospheric Pressure,optimal temperature
52.0,0.0,26.0,0.19,25,57.1,23.6
51.1,0.0,26.1,0.15,28,57.0,23.5
50.4,0.0,26.2,0.15,28,57.1,23.4
50.5,0.0,26.2,0.15,26,57.1,23.3
50.3,0.0,26.2,0.15,25,57.0,23.3
50.1,0.0,26.3,0.15,25,58.9,23.3
49.8,0.0,26.3,0.15,27,57.2,23.3
49.7,0.0,26.3,0.13,29,56.9,23.2
49.4,0.0,26.3,0.21,25,57.1,23.2
49.0,0.0,26.3,0.41,33,57.1,23.2
48.8,0.0,26.3,0.43,28,57.2,23.2
48.6,0.0,26.3,0.37,29,57.1,23.2
48.6,0.0,26.3,0.35,21,57.1,23.1
48.6,0.0,26.3,0.33,27,57.1,23.0
48.6,0.0,26.3,0.8,30,57.3,22.9
48.8,0.0,26.3,0.6,16,58.8,22.8
48.7,0.0,26.3,0.42,28,57.8,22.8
48.6,0.0,26.3,0.46,24,57.5,22.8
48.6,0.0,26.3,0.22,26,57.4,22.7
48.7,0.0,26.3,0.59,16,57.6,22.7
48.6,0.0,26.3,0.37,20,57.3,22.6
48.6,0.0,26.3,0.48,16,57.3,22.6
48.8,0.0,26.3,0.36,25,57.0,22.5
49.1,0.0,26.3,0.06,27,57.2,22.4
49.1,0.0,26.3,0.1,19,57.2,22.4
49.1,0.0,26.3,0.2,27,57.5,22.4
49.2,0.0,26.3,0.11,16,57.9,22.4
49.2,0.0,26.3,0.24,21,57.3,22.4
49.2,0.0,26.3,0.17,22,57.2,22.4
49.2,0.0,26.3,0.14,23,57.3,22.3
49.2,0.0,26.4,0.07,30,57.3,22.3
49.1,0.0,26.4,0.07,24,57.1,22.3
49.1,0.0,26.4,0.14,20,56.7,22.3
49.1,0.0,26.4,0.28,19,57.1,22.3
49.0,0.0,26.4,0.1,29,57.4,22.3
49.1,36.68,26.4,0.1,26,58.0,22.3
49.2,83.59,26.4,0.23,23,58.7,22.3
49.0,84.49,26.4,0.24,19,58.3,22.4
48.9,84.69,26.4,0.22,27,58.2,22.4
48.9,84.71,26.4,0.41,26,58.8,22.4
49.0,84.46,26.4,0.32,19,58.6,22.5
49.1,83.48,26.4,0.78,20,59.1,22.5
49.1,83.46,26.4,0.62,21,59.4,22.6
49.2,80.63,26.4,0.57,28,61.2,22.7
50.0,78.69,26.4,0.74,21,59.5,22.8
50.1,78.63,26.4,1.11,18,60.4,22.8
49.5,78.86,26.4,0.64,27,64.5,23.2
49.4,78.77,26.4,0.23,33,62.7,23.2
49.4,78.05,26.4,0.11,27,64.3,23.3
49.2,78.42,26.4,0.33,25,62.2,23.2
49.3,77.88,26.4,0.04,21,63.8,23.1
49.3,77.15,26.4,0.53,15,61.7,23.1
49.2,75.37,26.4,0.54,17,60.7,23.0
49.4,75.48,26.4,0.26,25,61.1,22.9
49.4,76.92,26.4,0.21,18,61.2,22.8
49.0,76.89,26.4,0.28,28,62.5,22.9
49.0,76.28,26.4,0.1,17,64.5,22.8
49.0,76.26,26.4,0.15,20,63.9,22.8
49.1,75.55,26.4,0.11,19,63.1,22.7
49.1,75.64,26.4,0.2,22,60.0,22.8
48.5,75.96,26.4,0.35,17,57.2,22.8
48.2,76.39,26.4,0.05,16,56.8,22.8
47.9,76.54,26.4,0.35,22,57.0,22.9
48.0,77.07,26.4,0.17,28,57.4,22.8
47.8,77.24,26.4,0.17,21,57.0,22.8
48.0,77.96,26.5,0.15,30,57.2,22.7
48.4,78.45,26.5,0.83,16,57.1,22.5
48.2,87.64,26.5,0.3,20,60.3,22.7
48.2,101.79,26.5,0.15,25,57.6,22.8
47.6,104.45,26.5,0.5,21,57.6,23.0
47.5,101.18,26.5,0.16,19,59.5,23.1
47.7,101.74,26.5,0.37,26,62.8,23.3
47.9,100.73,26.5,0.39,31,66.0,23.4
48.1,99.22,26.5,0.28,33,62.7,23.5
48.1,94.53,26.5,0.15,29,63.0,23.6
48.2,91.66,26.5,0.05,27,62.2,23.4
48.6,96.53,26.5,0.06,31,63.8,23.3
48.5,96.18,26.5,0.06,33,66.7,23.2
48.3,95.28,26.5,0.2,25,65.7,23.2
48.1,96.44,26.5,0.34,29,63.4,23.2
47.9,97.09,26.5,0.33,28,61.0,23.2
47.9,96.29,26.5,0.49,33,61.2,23.2
47.7,94.92,26.5,0.46,33,62.1,23.2
47.5,94.75,26.6,1.32,31,61.9,23.2
47.5,93.96,26.6,0.69,25,62.3,23.2
47.4,94.7,26.6,0.75,26,61.7,23.3
47.3,94.1,26.7,0.35,29,60.9,23.2
47.2,94.62,26.7,1.43,26,63.5,23.3
47.0,97.66,26.5,1.58,35,65.2,23.2
46.9,97.68,26.4,1.48,30,63.3,23.3
46.9,97.48,26.3,3.07,33,61.4,23.2
46.9,98.99,26.3,3.63,31,63.1,23.2
46.9,98.48,26.2,2.8,32,65.5,23.2
46.8,93.85,26.1,2.63,28,65.3,23.2
46.8,93.36,26.1,1.07,29,65.0,23.2
46.8,95.48,26.2,1.42,27,62.9,23.1
46.6,99.51,26.2,1.89,25,64.3,23.2
46.6,98.91,26.3,1.14,32,63.7,23.2
46.4,97.98,26.3,0.98,31,68.1,23.3
46.5,97.38,26.3,1.62,31,63.6,23.2
46.3,96.89,26.3,0.28,34,63.7,23.2
46.5,97.21,26.3,2.41,26,63.4,23.2
46.4,97.92,26.3,3.33,31,62.2,23.2
46.5,99.01,25.8,1.31,35,63.7,23.2
46.5,98.09,24.9,0.42,27,61.1,23.2
46.5,96.82,24.1,1.2,33,60.6,23.2
46.5,97.85,23.4,0.62,29,61.0,23.2
46.6,102.28,23.4,1.61,28,61.3,23.4
46.5,96.44,23.5,3.95,27,63.5,23.3
46.6,97.06,23.5,0.3,28,61.8,23.3
46.8,106.84,23.4,2.28,28,60.2,23.2
46.8,105.64,23.4,1.64,30,61.7,23.1
47.0,100.76,23.3,2.96,16,65.4,23.1
47.0,92.19,23.3,3.13,29,65.8,23.1
46.9,92.6,23.3,3.41,24,63.3,23.1
47.0,91.19,23.2,2.18,27,65.1,23.0
47.0,91.33,23.2,1.52,24,66.8,23.0
46.7,95.35,23.2,0.2,35,63.5,23.2
46.6,92.82,23.3,1.23,28,66.3,23.1
46.4,91.84,23.4,3.35,36,64.1,23.2
