Atmospheric Pressure,optimal_relative_humidity [%],air_temperature [Celsius],indoor_co2 [ppm],dry_bulb_temp [Celsius],outdoor_co2 [ppm],occupant_count [number]
57.07,52.02,23.56,453.5,26.1,463.09,28
57.02,51.08,23.49,448.87,26.1,462.1,29
57.08,50.41,23.42,447.33,26.1,463.48,28
57.09,50.5,23.25,446.07,26.1,462.89,16
57.02,50.31,23.31,444.37,26.1,462.5,21
58.91,50.14,23.29,439.79,26.1,464.27,20
57.21,49.81,23.26,435.77,26.1,462.69,30
56.94,49.73,23.21,435.5,26.1,462.5,22
57.15,49.44,23.17,434.86,26.2,464.48,16
57.07,49.04,23.24,433.37,26.2,462.31,30
57.18,48.81,23.18,428.77,26.4,463.89,26
57.1,48.64,23.16,430.87,26.3,463.3,15
57.06,48.61,23.1,431.57,26.3,464.27,22
57.09,48.62,22.98,428.37,26.3,462.69,27
57.29,48.63,22.92,428.47,26.3,462.7,22
58.83,48.82,22.8,425.71,26.4,462.7,25
57.82,48.72,22.79,429.23,26.4,462.11,25
57.5,48.58,22.78,429.1,26.4,463.09,15
57.38,48.61,22.72,428.76,26.4,462.89,16
57.56,48.7,22.66,428.2,26.5,462.34,29
57.32,48.63,22.65,429.03,26.5,463.49,29
57.27,48.6,22.62,427.63,26.6,462.7,18
57.03,48.84,22.5,427.87,26.6,463.9,16
57.18,49.05,22.45,426.8,26.7,463.11,15
57.21,49.12,22.43,428.77,26.6,463.31,27
57.49,49.12,22.44,427.11,26.6,463.7,26
57.92,49.17,22.42,424.37,26.6,463.1,23
57.29,49.19,22.39,422.23,26.6,464.29,26
57.24,49.18,22.35,424.53,26.6,464.48,29
57.25,49.19,22.32,427.1,26.6,464.27,30
57.25,49.17,22.31,427.53,26.6,463.12,28
57.06,49.13,22.31,423.53,26.6,463.5,20
56.7,49.12,22.31,426.63,26.5,463.9,24
57.07,49.07,22.31,427.83,26.5,463.29,26
57.4,49.04,22.3,426.67,26.5,463.31,17
57.95,49.08,22.28,430.0,26.5,463.89,20
58.66,49.16,22.33,432.31,26.5,463.89,18
58.33,49.05,22.38,437.8,26.5,464.48,29
58.19,48.94,22.42,440.7,26.6,463.71,28
58.85,48.92,22.43,443.97,26.6,463.51,21
58.57,49.02,22.46,448.73,26.7,463.89,27
59.14,49.14,22.5,453.2,26.7,464.08,21
59.43,49.14,22.57,464.37,26.7,463.91,17
61.2,49.21,22.66,476.0,26.7,465.46,17
59.48,49.95,22.8,506.87,26.7,463.9,29
60.44,50.12,22.83,546.97,26.6,464.89,25
64.5,49.51,23.19,574.36,26.5,463.11,28
62.74,49.42,23.24,599.63,26.5,463.89,27
64.3,49.41,23.29,626.13,26.5,462.9,24
62.18,49.25,23.24,636.13,26.5,463.5,26
63.79,49.27,23.15,638.17,26.5,463.3,23
61.74,49.3,23.05,644.43,26.5,463.09,17
60.67,49.2,23.04,649.43,26.4,462.52,29
61.14,49.37,22.87,650.3,26.4,462.71,22
61.24,49.36,22.79,648.27,26.4,462.7,28
62.53,49.04,22.88,644.37,26.3,462.9,20
64.54,49.05,22.79,642.54,26.3,462.32,17
63.93,48.97,22.81,634.0,26.3,462.49,28
63.13,49.11,22.75,637.17,26.4,464.09,20
59.97,49.05,22.77,636.87,26.4,463.69,29
57.22,48.55,22.79,615.07,26.4,462.9,18
56.81,48.18,22.83,586.07,26.3,462.89,15
56.96,47.93,22.87,560.67,26.3,462.51,17
57.4,47.97,22.77,542.73,26.3,464.66,30
57.02,47.82,22.84,528.13,26.3,463.5,20
57.2,48.01,22.71,520.8,26.3,463.29,18
57.11,48.38,22.52,514.14,26.3,462.7,24
60.28,48.19,22.71,514.37,26.3,462.86,16
57.57,48.16,22.78,515.37,26.4,462.69,29
57.62,47.63,23.0,516.6,26.3,462.1,15
59.54,47.5,23.13,516.69,26.3,462.29,27
62.82,47.72,23.31,526.7,26.3,462.69,26
65.97,47.86,23.43,563.6,26.3,463.12,20
62.74,48.08,23.52,600.83,26.3,461.91,28
63.0,48.1,23.61,641.93,26.3,462.09,24
62.18,48.22,23.43,662.47,26.3,462.49,24
63.81,48.59,23.31,679.47,26.1,461.72,25
66.69,48.53,23.22,690.71,26.1,461.9,26
65.71,48.32,23.21,693.93,26.0,462.29,28
63.43,48.11,23.25,703.43,26.1,461.12,25
60.96,47.94,23.24,700.97,26.1,460.72,17
61.21,47.89,23.23,700.97,26.2,462.7,24
62.07,47.72,23.25,702.93,26.2,462.69,25
61.94,47.54,23.23,700.43,26.3,463.51,30
62.33,47.53,23.24,699.73,26.4,461.71,16
61.72,47.36,23.25,696.3,26.4,463.5,25
60.94,47.26,23.24,694.33,26.6,463.49,18
63.52,47.15,23.27,691.25,26.5,463.68,29
65.21,47.04,23.25,699.57,26.6,463.49,30
63.32,46.95,23.26,701.67,26.6,463.1,16
61.43,46.93,23.24,710.1,26.5,464.9,21
63.12,46.95,23.2,710.45,26.4,463.7,23
65.51,46.94,23.21,708.32,26.6,463.5,25
65.26,46.83,23.19,709.2,26.6,464.3,27
64.99,46.81,23.15,710.9,26.5,464.7,30
62.93,46.79,23.15,712.77,26.4,464.11,18
64.35,46.61,23.21,712.35,26.3,465.28,30
63.74,46.58,23.2,714.86,26.3,465.09,26
68.12,46.42,23.27,711.8,26.3,465.09,16
63.63,46.53,23.19,713.53,26.2,464.5,15
63.69,46.34,23.25,715.53,26.2,464.7,24
63.43,46.48,23.23,722.3,26.1,465.28,25
62.22,46.43,23.22,722.0,26.0,464.1,25
63.7,46.47,23.24,721.4,26.1,464.11,18
61.1,46.51,23.22,719.63,26.2,464.89,20
60.62,46.55,23.22,714.7,26.2,466.5,17
61.01,46.52,23.23,707.1,26.5,467.09,23
61.34,46.55,23.41,706.57,26.6,467.08,16
63.49,46.54,23.32,709.29,26.5,467.29,29
61.83,46.63,23.26,709.83,26.7,469.06,28
60.23,46.84,23.15,707.33,26.8,467.09,22
61.7,46.83,23.12,695.6,26.8,470.29,30
65.39,46.96,23.07,688.07,26.6,469.29,19
65.83,46.97,23.1,689.67,26.4,468.89,17
