new_time,sound_pressure_level [dba],indoor_relative_humidity [%],pm2.5 [mu_g/m3],indoor_co2 [ppm],wifi_connected_devices [number],temp_setpoint [Celsius],baromatic_pressure [hPa],outdoor_co2 [ppm],air_temperature [Celsius]
2021-09-07 00:00:00,57.07333374,52.01966476,2.066666603,453.5,1,26.0,1005.198364,463.0935364,23.56433296
2021-09-07 00:05:00,57.01666641,51.08066559,1.966666698,448.8666687,1,26.1,1005.198425,462.0963135,23.4873333
2021-09-07 00:10:00,57.08333206,50.41066742,1.833333373,447.3333435,1,26.2,1005.200012,463.4760742,23.42399979
2021-09-07 00:15:00,57.0933342,50.50266647,1.700000048,446.0666809,1,26.2,1005.200012,462.886261,23.25300026
2021-09-07 00:20:00,57.01666641,50.30766678,1.666666627,444.3666687,1,26.2,1005.003235,462.4961548,23.30900002
2021-09-07 00:25:00,58.91428757,50.14321518,1.357142806,439.7857056,1,26.3,1005.0,464.2661133,23.29178619
2021-09-07 00:30:00,57.20999908,49.80666733,1.166666627,435.7666626,1,26.3,1005.0,462.6895752,23.26499939
2021-09-07 00:35:00,56.94333267,49.73333359,1.200000048,435.5,1,26.3,1005.0,462.4994202,23.2140007
2021-09-07 00:40:00,57.14827728,49.44276047,1.034482718,434.8620605,1,26.3,1004.996765,464.4758606,23.17000008
2021-09-07 00:45:00,57.07333374,49.03966522,1.066666722,433.3666687,1,26.3,1004.900024,462.3092651,23.23999977
2021-09-07 00:50:00,57.18333435,48.80666733,1.066666722,428.7666626,1,26.3,1004.898376,463.8890686,23.18133354
2021-09-07 00:55:00,57.10333252,48.63533401,1.0,430.8666687,1,26.3,1004.900024,463.2958374,23.16033363
2021-09-07 01:00:00,57.06000137,48.61233521,1.033333302,431.5666809,1,26.3,1004.799988,464.272583,23.0996666
2021-09-07 01:05:00,57.08666611,48.61899948,1.0,428.3666687,1,26.3,1004.799988,462.6895752,22.9829998
2021-09-07 01:10:00,57.29000092,48.63100052,1.0,428.4666748,1,26.3,1004.799988,462.7025757,22.91799927
2021-09-07 01:15:00,58.83214188,48.81785583,1.0,425.7142944,1,26.3,1004.700012,462.7025146,22.80428505
